Iterations,Accuracy (%),Attack,Aggregator,Optimizer,seed,LR
1200,63.982371794871796,BF,CM,Byz-NSGDM,0,0.01
1230,64.09254807692308,BF,CM,Byz-NSGDM,0,0.01
1260,64.29286858974359,BF,CM,Byz-NSGDM,0,0.01
1290,64.46314102564102,BF,CM,Byz-NSGDM,0,0.01
1320,64.65344551282051,BF,CM,Byz-NSGDM,0,0.01
1350,64.8838141025641,BF,CM,Byz-NSGDM,0,0.01
1380,65.00400641025641,BF,CM,Byz-NSGDM,0,0.01
1410,65.17427884615384,BF,CM,Byz-NSGDM,0,0.01
1440,65.33453525641026,BF,CM,Byz-NSGDM,0,0.01
1470,65.46474358974359,BF,CM,Byz-NSGDM,0,0.01
1500,65.60496794871794,BF,CM,Byz-NSGDM,0,0.01
30,50.8213141025641,mimic,RFA,Baseline,0,0.001
60,37.4599358974359,mimic,RFA,Baseline,0,0.001
90,64.32291666666667,mimic,RFA,Baseline,0,0.001
120,73.85817307692308,mimic,RFA,Baseline,0,0.001
150,81.10977564102564,mimic,RFA,Baseline,0,0.001
180,83.65384615384616,mimic,RFA,Baseline,0,0.001
210,85.64703525641026,mimic,RFA,Baseline,0,0.001
240,86.85897435897436,mimic,RFA,Baseline,0,0.001
270,87.55008012820512,mimic,RFA,Baseline,0,0.001
300,87.79046474358974,mimic,RFA,Baseline,0,0.001
