Iterations,Accuracy (%),Attack,Aggregator,Momentum,LR,seed
30,18.118990384615383,BF,RFA,0.3,0.005,0
60,25.96153846153846,BF,RFA,0.3,0.005,0
90,29.827724358974358,BF,RFA,0.3,0.005,0
120,32.25160256410256,BF,RFA,0.3,0.005,0
150,34.40504807692308,BF,RFA,0.3,0.005,0
180,36.999198717948715,BF,RFA,0.3,0.005,0
210,39.67347756410256,BF,RFA,0.3,0.005,0
240,42.27764423076923,BF,RFA,0.3,0.005,0
270,44.47115384615385,BF,RFA,0.3,0.005,0
300,46.54447115384615,BF,RFA,0.3,0.005,0
330,48.68790064102564,BF,RFA,0.3,0.005,0
360,50.75120192307692,BF,RFA,0.3,0.005,0
390,52.423878205128204,BF,RFA,0.3,0.005,0
420,53.93629807692308,BF,RFA,0.3,0.005,0
450,55.32852564102564,BF,RFA,0.3,0.005,0
480,56.50040064102564,BF,RFA,0.3,0.005,0
510,57.47195512820513,BF,RFA,0.3,0.005,0
540,58.493589743589745,BF,RFA,0.3,0.005,0
570,59.36498397435897,BF,RFA,0.3,0.005,0
600,60.046073717948715,BF,RFA,0.3,0.005,0
30,82.82251602564102,BF,RFA,0.99,0.5,0
60,90.65504807692308,BF,RFA,0.99,0.5,0
90,93.11899038461539,BF,RFA,0.99,0.5,0
120,94.78165064102564,BF,RFA,0.99,0.5,0
150,96.09375,BF,RFA,0.99,0.5,0
180,96.875,BF,RFA,0.99,0.5,0
210,83.85416666666667,BF,RFA,0.99,0.5,0
240,82.53205128205128,BF,RFA,0.99,0.5,0
270,86.68870192307692,BF,RFA,0.99,0.5,0
300,87.09935897435898,BF,RFA,0.99,0.5,0
330,86.58854166666667,BF,RFA,0.99,0.5,0
360,87.5,BF,RFA,0.99,0.5,0
390,87.87059294871794,BF,RFA,0.99,0.5,0
420,87.19951923076923,BF,RFA,0.99,0.5,0
450,88.3213141025641,BF,RFA,0.99,0.5,0
480,88.4014423076923,BF,RFA,0.99,0.5,0
510,88.72195512820512,BF,RFA,0.99,0.5,0
540,88.54166666666667,BF,RFA,0.99,0.5,0
570,88.69190705128206,BF,RFA,0.99,0.5,0
600,88.80208333333333,BF,RFA,0.99,0.5,0
30,33.21314102564103,BF,RFA,0.99,0.01,256
60,39.61338141025641,BF,RFA,0.99,0.01,256
90,45.16225961538461,BF,RFA,0.99,0.01,256
120,48.727964743589745,BF,RFA,0.99,0.01,256
150,50.84134615384615,BF,RFA,0.99,0.01,256
180,51.9931891025641,BF,RFA,0.99,0.01,256
210,52.95472756410256,BF,RFA,0.99,0.01,256
240,53.48557692307692,BF,RFA,0.99,0.01,256
270,54.05649038461539,BF,RFA,0.99,0.01,256
300,54.61738782051282,BF,RFA,0.99,0.01,256
330,55.00801282051282,BF,RFA,0.99,0.01,256
